,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
128,160.07000732421875,221.0,188.9499969482422,196.4199981689453,186.6699981689453,190.5399932861328,54.439998626708984,135.5500030517578,145.8699951171875,59.970001220703125,341.19000244140625,308.45001220703125,178.9600067138672,122.06999969482422,44.650001525878906,161.22000122070312,148.69000244140625,61.59000015258789,247.7899932861328,144.3800048828125,75.83999633789062,280.2699890136719,136.8300018310547,155.9600067138672,170.13999938964844,459.6199951171875,215.9499969482422,53.40999984741211,45.459999084472656,135.0500030517578
129,162.74000549316406,219.27000427246094,188.35000610351562,198.42999267578125,184.69000244140625,204.2899932861328,54.72999954223633,134.85000610351562,149.39999389648438,58.720001220703125,340.19000244140625,313.239990234375,182.33999633789062,121.97000122070312,46.720001220703125,158.13999938964844,144.5500030517578,60.5099983215332,245.02999877929688,143.6999969482422,73.51000213623047,294.5899963378906,137.1699981689453,151.75999450683594,166.5,455.8900146484375,217.3000030517578,52.59000015258789,45.27000045776367,134.52999877929688
130,164.85000610351562,227.02999877929688,193.7100067138672,201.47999572753906,187.05999755859375,208.08999633789062,56.040000915527344,140.3800048828125,149.52999877929688,59.650001525878906,350.1199951171875,316.6499938964844,188.55999755859375,124.18000030517578,47.709999084472656,166.0,147.97000122070312,62.849998474121094,249.4499969482422,150.50999450683594,76.31999969482422,297.30999755859375,138.8000030517578,158.24000549316406,173.44000244140625,475.75,219.27000427246094,54.119998931884766,46.20000076293945,136.3800048828125
131,165.1199951171875,226.47999572753906,194.5399932861328,205.33999633789062,187.5800018310547,210.52999877929688,55.77000045776367,144.0,148.4600067138672,58.959999084472656,341.2900085449219,315.8299865722656,189.75,122.51000213623047,47.70000076293945,164.57000732421875,141.8000030517578,62.2400016784668,244.77000427246094,148.64999389648438,76.58000183105469,298.7900085449219,136.5500030517578,155.88999938964844,171.8300018310547,475.8699951171875,216.1199951171875,53.66999816894531,46.09000015258789,135.16000366210938
132,163.1999969482422,225.2100067138672,178.05999755859375,194.91000366210938,182.8300018310547,208.88999938964844,54.619998931884766,149.72000122070312,145.6999969482422,57.130001068115234,328.20001220703125,320.25,183.60000610351562,121.3499984741211,46.81999969482422,164.0,136.4499969482422,61.970001220703125,239.6300048828125,144.75,76.33999633789062,294.95001220703125,132.22000122070312,153.30999755859375,167.82000732421875,476.25,208.97000122070312,53.61000061035156,45.0099983215332,135.99000549316406
133,166.55999755859375,228.58999633789062,180.30999755859375,197.80999755859375,192.61000061035156,210.38999938964844,56.150001525878906,154.13999938964844,147.33999633789062,59.20000076293945,336.3800048828125,327.3699951171875,186.44000244140625,123.86000061035156,48.869998931884766,166.0399932861328,139.27999877929688,62.43000030517578,240.94000244140625,147.22000122070312,76.66999816894531,300.19000244140625,135.67999267578125,153.7899932861328,173.67999267578125,485.3800048828125,208.47999572753906,54.13999938964844,46.150001525878906,136.16000366210938
134,166.22999572753906,232.63999938964844,179.88999938964844,188.85000610351562,194.85000610351562,204.75,56.06999969482422,156.22000122070312,145.57000732421875,59.66999816894531,333.4200134277344,324.3599853515625,187.52000427246094,125.93000030517578,47.93000030517578,168.47999572753906,138.2899932861328,62.470001220703125,236.64999389648438,148.3000030517578,77.1500015258789,295.9200134277344,133.97000122070312,154.36000061035156,173.60000610351562,486.5899963378906,207.22999572753906,54.65999984741211,46.720001220703125,139.2899932861328
135,163.1699981689453,232.91000366210938,172.9499969482422,180.83999633789062,195.66000366210938,203.00999450683594,56.5099983215332,158.64999389648438,140.72000122070312,58.83000183105469,329.6700134277344,324.260009765625,187.42999267578125,126.62000274658203,48.06999969482422,169.47999572753906,134.39999389648438,62.56999969482422,235.80999755859375,146.72999572753906,77.83000183105469,289.8599853515625,131.17999267578125,155.13999938964844,173.39999389648438,498.6499938964844,200.2899932861328,55.11000061035156,47.720001220703125,142.82000732421875
136,159.3000030517578,234.36000061035156,159.1300048828125,169.1699981689453,196.6999969482422,196.22999572753906,55.59000015258789,162.0399932861328,133.5,57.97999954223633,321.8900146484375,322.7699890136719,182.16000366210938,126.06999969482422,47.68000030517578,172.2100067138672,129.2100067138672,61.08000183105469,224.3300018310547,143.27999877929688,77.7300033569336,278.9100036621094,124.44000244140625,152.83999633789062,169.7899932861328,486.8699951171875,190.6999969482422,54.68000030517578,46.9900016784668,141.6699981689453
137,157.44000244140625,231.10000610351562,160.0500030517578,173.8000030517578,210.0,192.0800018310547,54.400001525878906,170.52999877929688,131.75,57.84000015258789,321.3699951171875,316.739990234375,183.24000549316406,125.68000030517578,47.5,168.72000122070312,128.3000030517578,58.65999984741211,222.7899932861328,145.39999389648438,76.94999694824219,275.8500061035156,121.20999908447266,146.7899932861328,168.4499969482422,473.4599914550781,191.7100067138672,53.25,47.470001220703125,138.74000549316406
138,162.9499969482422,231.4600067138672,168.64999389648438,178.55999755859375,209.77999877929688,203.16000366210938,55.91999816894531,166.27000427246094,133.64999389648438,59.79999923706055,333.5899963378906,317.20001220703125,185.39999389648438,126.22000122070312,47.630001068115234,169.36000061035156,133.44000244140625,58.959999084472656,222.47000122070312,146.60000610351562,77.79000091552734,288.5,126.94999694824219,148.77000427246094,171.3699951171875,485.57000732421875,199.75999450683594,53.08000183105469,48.119998931884766,139.4600067138672
139,158.52000427246094,226.9499969482422,169.60000610351562,178.38999938964844,211.7899932861328,200.14999389648438,54.709999084472656,170.82000732421875,133.63999938964844,60.630001068115234,329.8999938964844,317.94000244140625,184.36000061035156,124.3499984741211,46.65999984741211,169.66000366210938,131.86000061035156,57.880001068115234,222.0,143.92999267578125,77.88999938964844,285.5899963378906,126.02999877929688,144.94000244140625,171.88999938964844,491.44000244140625,197.97000122070312,53.22999954223633,48.06999969482422,142.6300048828125
140,154.72999572753906,228.85000610351562,167.89999389648438,176.22999572753906,214.8300018310547,197.89999389648438,54.689998626708984,170.89999389648438,131.75,60.90999984741211,327.0,316.7900085449219,182.24000549316406,123.95999908447266,45.83000183105469,169.35000610351562,128.88999938964844,57.91999816894531,226.8699951171875,140.9600067138672,78.26000213623047,280.07000732421875,122.62999725341797,143.22000122070312,173.72999572753906,482.8699951171875,196.7100067138672,53.040000915527344,47.439998626708984,142.07000732421875
141,150.6199951171875,229.2100067138672,172.7899932861328,175.52000427246094,215.44000244140625,193.1199951171875,54.29999923706055,166.72000122070312,129.02999877929688,60.279998779296875,324.9800109863281,318.3599853515625,183.1999969482422,123.94000244140625,44.400001525878906,171.69000244140625,130.1699981689453,58.540000915527344,226.17999267578125,143.47999572753906,77.77999877929688,276.44000244140625,117.56999969482422,145.0500030517578,177.17999267578125,487.9200134277344,200.3300018310547,52.5,47.90999984741211,144.0500030517578
142,155.08999633789062,231.55999755859375,176.0399932861328,179.88999938964844,216.4600067138672,196.13999938964844,55.599998474121094,158.27999877929688,134.1999969482422,58.869998931884766,329.1600036621094,328.5400085449219,187.7899932861328,125.63999938964844,44.810001373291016,176.13999938964844,132.47999572753906,59.619998931884766,232.57000732421875,144.30999755859375,78.63999938964844,287.1499938964844,119.4000015258789,150.27000427246094,180.19000244140625,497.9100036621094,206.13999938964844,52.7599983215332,48.16999816894531,145.77999877929688
143,159.58999633789062,231.6699981689453,180.61000061035156,188.99000549316406,216.0800018310547,205.57000732421875,55.810001373291016,157.7100067138672,138.13999938964844,59.63999938964844,340.760009765625,330.9100036621094,191.02999877929688,127.04000091552734,46.630001068115234,174.52000427246094,138.39999389648438,59.459999084472656,238.13999938964844,145.50999450683594,78.12000274658203,294.3900146484375,125.19000244140625,149.75999450683594,179.2899932861328,498.260009765625,211.8699951171875,52.4900016784668,47.380001068115234,145.35000610351562
